epoch,train_total,pred_loss,var_loss,cov_loss,val_loss,lr,ema,is_new_best,best_val,source_file
0,0.877,0.0026,0.1151,7.4681,0.7333,1.5e-05,0.996,True,0.7333,train-jepa-v2-169085.out
1,0.5821,0.0026,0.0829,4.1214,0.6243,3e-05,0.996,True,0.6243,train-jepa-v2-169085.out
2,0.5888,0.0026,0.0992,2.2588,0.6302,4.5e-05,0.996,False,,train-jepa-v2-169085.out
3,0.661,0.0026,0.1206,1.3814,0.7167,6e-05,0.996,False,,train-jepa-v2-169085.out
4,0.7581,0.0025,0.143,1.008,0.8132,7.5e-05,0.996,False,,train-jepa-v2-169085.out
5,0.8564,0.0025,0.1642,0.8209,0.9088,9e-05,0.996,False,,train-jepa-v2-169085.out
6,0.9511,0.0025,0.184,0.7149,0.9992,0.000105,0.996,False,,train-jepa-v2-169085.out
7,1.032,0.0024,0.2006,0.6605,1.0767,0.00012,0.996,False,,train-jepa-v2-169085.out
8,1.1071,0.0024,0.2158,0.6418,1.1414,0.000135,0.996,False,,train-jepa-v2-169085.out
9,1.1527,0.0023,0.225,0.6346,1.1659,0.00015,0.9961,False,,train-jepa-v2-169085.out
10,1.1725,0.0022,0.2291,0.6227,1.1875,0.00015,0.9961,False,,train-jepa-v2-169085.out
11,1.175,0.0021,0.2297,0.614,1.1793,0.00015,0.9961,False,,train-jepa-v2-169085.out
12,1.1887,0.0019,0.2325,0.6076,1.2034,0.00015,0.9961,False,,train-jepa-v2-169085.out
13,1.2098,0.0017,0.2368,0.6016,1.2239,0.00015,0.9961,False,,train-jepa-v2-169085.out
14,1.2382,0.0015,0.2426,0.5981,1.2639,0.000149,0.9961,False,,train-jepa-v2-169085.out
15,1.2724,0.0013,0.2494,0.5957,1.2928,0.000149,0.9962,False,,train-jepa-v2-169085.out
16,1.2998,0.0013,0.255,0.593,1.3286,0.000148,0.9962,False,,train-jepa-v2-169085.out
17,1.3349,0.0012,0.262,0.5915,1.3557,0.000148,0.9962,False,,train-jepa-v2-169085.out
18,1.3673,0.0011,0.2685,0.5896,1.3875,0.000147,0.9962,False,,train-jepa-v2-169085.out
19,1.3955,0.0011,0.2742,0.5883,1.4248,0.000146,0.9963,False,,train-jepa-v2-169085.out
20,1.4344,0.0011,0.282,0.587,1.4584,0.000146,0.9963,False,,train-jepa-v2-169085.out
21,1.4586,0.001,0.2868,0.5862,1.4795,0.000145,0.9963,False,,train-jepa-v2-169085.out
22,1.4859,0.001,0.2923,0.5843,1.5059,0.000144,0.9963,False,,train-jepa-v2-169085.out
23,1.5191,0.001,0.2989,0.5833,1.5503,0.000142,0.9964,False,,train-jepa-v2-169085.out
24,1.5528,0.001,0.3057,0.5824,1.5722,0.000141,0.9964,False,,train-jepa-v2-169085.out
25,1.5733,0.001,0.3098,0.5811,1.5948,0.00014,0.9964,False,,train-jepa-v2-169085.out
26,1.5969,0.001,0.3145,0.5801,1.6267,0.000139,0.9965,False,,train-jepa-v2-169085.out
27,1.6273,0.001,0.3206,0.5787,1.6393,0.000137,0.9965,False,,train-jepa-v2-169085.out
28,1.6353,0.001,0.3222,0.5788,1.6564,0.000136,0.9965,False,,train-jepa-v2-169085.out
29,1.6658,0.001,0.3283,0.5776,1.6846,0.000134,0.9966,False,,train-jepa-v2-169085.out
30,1.6855,0.001,0.3323,0.5757,1.6996,0.000133,0.9966,False,,train-jepa-v2-169085.out
31,1.6982,0.001,0.3348,0.5746,1.7162,0.000131,0.9967,False,,train-jepa-v2-169085.out
32,1.7144,0.001,0.3381,0.5745,1.735,0.000129,0.9967,False,,train-jepa-v2-169085.out
33,1.7301,0.001,0.3412,0.5741,1.7495,0.000127,0.9967,False,,train-jepa-v2-169085.out
34,1.7539,0.001,0.346,0.5732,1.7667,0.000125,0.9968,False,,train-jepa-v2-169085.out
35,1.7674,0.001,0.3487,0.572,1.7792,0.000123,0.9968,False,,train-jepa-v2-169085.out
36,1.7819,0.001,0.3516,0.5712,1.7977,0.000121,0.9969,False,,train-jepa-v2-169085.out
37,1.7947,0.001,0.3542,0.5704,1.8046,0.000119,0.9969,False,,train-jepa-v2-169085.out
38,1.8072,0.001,0.3567,0.5696,1.8224,0.000117,0.9969,False,,train-jepa-v2-169085.out
39,1.8206,0.001,0.3594,0.5679,1.831,0.000115,0.997,False,,train-jepa-v2-169085.out
40,1.8351,0.0011,0.3623,0.5671,1.8512,0.000113,0.997,False,,train-jepa-v2-169085.out
41,1.845,0.0011,0.3642,0.5674,1.8579,0.00011,0.9971,False,,train-jepa-v2-169085.out
42,1.8599,0.0011,0.3672,0.5655,1.8746,0.000108,0.9971,False,,train-jepa-v2-169085.out
43,1.8684,0.0011,0.3689,0.5646,1.8728,0.000106,0.9972,False,,train-jepa-v2-169085.out
44,1.8727,0.0011,0.3698,0.5636,1.885,0.000103,0.9972,False,,train-jepa-v2-169085.out
45,1.8813,0.0011,0.3715,0.5627,1.8875,0.000101,0.9973,False,,train-jepa-v2-169085.out
46,1.8869,0.0012,0.3726,0.5624,1.8944,9.85e-05,0.9973,False,,train-jepa-v2-169085.out
47,1.8959,0.0012,0.3745,0.561,1.9075,9.6e-05,0.9974,False,,train-jepa-v2-169085.out
48,1.9043,0.0012,0.3761,0.5601,1.914,9.35e-05,0.9974,False,,train-jepa-v2-169085.out
49,1.9146,0.0012,0.3782,0.5594,1.9267,9.1e-05,0.9975,False,,train-jepa-v2-169085.out
